Gene_ID,GO_ID,GO_Term,Ontology
Ca_00228,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00228,GO:0005524,ATP binding,MF
Ca_00228,GO:0006468,protein phosphorylation,BP
Ca_00228,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00228,GO:0048544,recognition of pollen,BP
Ca_00229,GO:0004672,protein kinase activity,MF
Ca_00229,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00229,GO:0005524,ATP binding,MF
Ca_00229,GO:0006468,protein phosphorylation,BP
Ca_00229,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00229,GO:0048544,recognition of pollen,BP
Ca_00230,GO:0004672,protein kinase activity,MF
Ca_00230,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00230,GO:0005524,ATP binding,MF
Ca_00230,GO:0006468,protein phosphorylation,BP
Ca_00230,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00230,GO:0048544,recognition of pollen,BP
Ca_00231,GO:0004672,protein kinase activity,MF
Ca_00231,GO:0004674,protein serine/threonine kinase activity,MF
Ca_00231,GO:0005515,protein binding,MF
Ca_00231,GO:0005524,ATP binding,MF
Ca_00231,GO:0006468,protein phosphorylation,BP
Ca_00231,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00231,GO:0048544,recognition of pollen,BP
Ca_00234,GO:0005509,calcium ion binding,MF
Ca_00235,GO:0008242,omega peptidase activity,MF
Ca_00235,GO:0019538,protein metabolic process,BP
Ca_00236,GO:0005622,intracellular anatomical structure,CC
Ca_00236,GO:0008270,zinc ion binding,MF
Ca_00237,GO:0005515,protein binding,MF
Ca_00237,GO:0008270,zinc ion binding,MF
Ca_00239,GO:0005634,nucleus,CC
Ca_00239,GO:0007049,cell cycle,BP
Ca_00240,GO:0006812,monoatomic cation transport,BP
Ca_00240,GO:0055085,transmembrane transport,BP
Ca_00241,GO:0005337,nucleoside transmembrane transporter activity,MF
Ca_00241,GO:0006810,transport,BP
Ca_00242,GO:0005337,nucleoside transmembrane transporter activity,MF
Ca_00242,GO:0006810,transport,BP
Ca_00243,GO:0003676,nucleic acid binding,MF
Ca_00243,GO:0004523,RNA-DNA hybrid ribonuclease activity,MF
Ca_00244,GO:0005515,protein binding,MF
Ca_00244,GO:0008270,zinc ion binding,MF
Ca_00245,GO:0016772,"transferase activity, transferring phosphorus-containing groups",MF
Ca_00246,GO:0003677,DNA binding,MF
Ca_00246,GO:0003682,chromatin binding,MF
Ca_00247,GO:0046854,phosphatidylinositol phosphate biosynthetic process,BP
Ca_00249,GO:0005509,calcium ion binding,MF
Ca_00249,GO:0016491,oxidoreductase activity,MF
Ca_00249,GO:0050660,flavin adenine dinucleotide binding,MF
Ca_00251,GO:0005515,protein binding,MF
Ca_00252,GO:0005515,protein binding,MF
Ca_00253,GO:0005515,protein binding,MF
Ca_00254,GO:0003723,RNA binding,MF
Ca_00254,GO:0003964,RNA-directed DNA polymerase activity,MF
Ca_00254,GO:0006278,RNA-templated DNA biosynthetic process,BP
Ca_00254,GO:0006397,mRNA processing,BP
Ca_00257,GO:0003951,NAD+ kinase activity,MF
Ca_00257,GO:0004143,ATP-dependent diacylglycerol kinase activity,MF
Ca_00257,GO:0008152,metabolic process,BP
Ca_00260,GO:0003677,DNA binding,MF
Ca_00260,GO:0008270,zinc ion binding,MF
Ca_00261,GO:0005484,SNAP receptor activity,MF
Ca_00261,GO:0005515,protein binding,MF
Ca_00261,GO:0006886,intracellular protein transport,BP
Ca_00261,GO:0016020,membrane,CC
Ca_00261,GO:0016192,vesicle-mediated transport,BP
Ca_00262,GO:0005515,protein binding,MF
Ca_00262,GO:0005622,intracellular anatomical structure,CC
Ca_00262,GO:0006396,RNA processing,BP
Ca_00265,GO:0008270,zinc ion binding,MF
Ca_00265,GO:0016491,oxidoreductase activity,MF
