Gene_ID,Tissue,Tissue_Median_TPM,Other_Tissues_Mean_TPM,Other_Tissues_Maximum_TPM,Fold_Enrichment_vs_Other_Mean,Fold_Enrichment_vs_Second_Highest,Relative_Expression_Fraction,Tau,Expression_Class,Maximum_Tissue_Recalculated,Description,TF_Family,Marker_Score
Ca_05703,Androecium,439.60154,8.81635706451613,122.588671,44.88442475189428,3.565064147344055,0.6166309881102867,0.9799446629224362,Tissue-specific,Androecium,actin-11,NA,47.2374240704494
Ca_14618,Androecium,379.385692,6.80729835483871,69.423748,48.72180807132205,5.401383805928647,0.6425779454213308,0.9820570503886088,Tissue-specific,Androecium,NAD(P)-binding Rossmann-fold superfamily protein,NA,47.19281505095732
Ca_08271,Androecium,488.996807,10.662115516129031,125.535806,42.0161167433405,3.872396458279959,0.5966851109380553,0.9781959404161732,Tissue-specific,Androecium,caleosin-related family protein,NA,47.14325752428262
Ca_05293,Androecium,4349.814132,247.5389520967742,1737.603133,17.50556238889232,2.5024768731968,0.361775381598396,0.9430920621927912,Tissue-specific,Androecium,Pectate lyase family protein,NA,47.07582974416644
Ca_08047,Androecium,5871.747941,366.79206187096776,2351.053128,15.967576654931536,2.496860241415431,0.34054315885527264,0.9375327303629964,Tissue-specific,Androecium,probable pectinesterase/pectinesterase inhibitor 21-like [Glycine max],NA,46.91661328905748
Ca_01984,Androecium,6073.664303,384.3014289516129,2691.219913,15.766005123647936,2.2563774503216076,0.3376695056915225,0.9367265937365368,Tissue-specific,Androecium,Pollen Ole e 1 allergen and extensin family protein,NA,46.84308683809186
Ca_08978,Androecium,6030.839065,381.2429042903226,2401.6582,15.780120434671757,2.5104857049579503,0.33787407453385837,0.9367844341091992,Tissue-specific,Androecium,putative pectinesterase/pectinesterase inhibitor 28-like [Glycine max],NA,46.823125171255484
Ca_24849,Androecium,947.365028,31.346194903225808,288.348087,29.31921454246298,3.277592182594938,0.49365143786082694,0.966912231318691,Tissue-specific,Androecium,plant invertase/pectin methylesterase inhibitor protein,NA,46.60344079111628
Ca_15560,Androecium,731.385629,21.55883174193548,226.89121599999999,32.465583208306846,3.2137510249627175,0.5225267632032421,0.9705233041406458,Tissue-specific,Androecium,F-box/LRR protein,NA,46.372199341331495
Ca_06729,Androecium,4258.338817,250.93410393548388,1882.398525,16.90655909805187,2.261517549505355,0.35376207440635166,0.941072301965801,Tissue-specific,Androecium,Remorin family protein,NA,46.285958494543266
